@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2,3,4,5}

@data
1,'2020/06/08 14:56:44:664',2,-2.889253,-202.507538,537.195984,-207.759033,-118.324471,-404.086517,617.208984,-395.826691,-0.405517,-0.406462,-798.773376,-260.713318,-309.100433,-159.245407,-899.992615,-443.591431,-232.417709,-325.399139,1,1
2,'2020/06/08 14:56:44:736',2,-2.762161,-203.292648,540.217773,-208.020172,-116.399261,-403.484802,616.568909,-397.078857,-0.409536,-0.405933,-799.106262,-260.370605,-309.305725,-159.268066,-900.530334,-442.93634,-232.27272,-324.725983,1,1
3,'2020/06/08 14:56:44:805',2,-798.497375,-260.065857,-308.540985,-157.758392,-900.674011,-442.628082,-231.424866,-324.572449,-0.580076,-0.654033,-6.610133,-201.637009,540.511414,-208.992767,-112.80249,-405.326965,617.275635,-396.900543,1,1
4,'2020/06/08 14:56:44:876',2,-796.484863,-259.436066,-308.5961,-158.76062,-899.375549,-441.938934,-230.85228,-323.679749,-0.578705,-0.656106,-6.18989,-203.124237,543.518799,-209.093399,-112.944542,-403.621368,615.215881,-399.055084,1,1
5,'2020/06/08 14:56:44:941',2,-796.484863,-259.436066,-308.5961,-158.76062,-899.375549,-441.938934,-230.85228,-323.679749,-0.578705,-0.656106,-6.479129,-202.79895,544.632996,-210.943405,-112.475006,-404.198395,615.124573,-401.734833,1,1
6,'2020/06/08 14:56:45:140',2,-796.484863,-259.436066,-308.5961,-158.76062,-899.375549,-441.938934,-230.85228,-323.679749,-0.578705,-0.656106,-6.407633,-202.132095,543.146423,-210.894791,-111.893715,-402.969238,614.584473,-401.581207,1,1
7,'2020/06/08 14:56:45:214',2,-796.484863,-259.436066,-308.5961,-158.76062,-899.375549,-441.938934,-230.85228,-323.679749,-0.578705,-0.656106,-6.241038,-202.300278,543.006042,-211.419403,-111.707672,-403.391632,614.252441,-402.336243,1,1
8,'2020/06/08 14:56:45:291',2,-796.47168,-259.432739,-308.590637,-158.759476,-899.370789,-441.929047,-230.844116,-323.675171,-0.578663,-0.656116,-6.359279,-202.318237,542.402527,-210.954788,-111.651855,-403.497681,614.062256,-401.45462,1,1
9,'2020/06/08 14:56:45:361',2,-6.205991,-202.333496,542.262329,-210.804794,-111.357986,-403.419983,614.046997,-400.967285,-0.419815,-0.377998,-793.172119,-258.515289,-306.328186,-158.345856,-897.606812,-438.397461,-230.031082,-323.814087,1,1
10,'2020/06/08 14:56:45:432',2,-792.684326,-257.724976,-307.581604,-159.316055,-897.400574,-438.203064,-229.764496,-325.140717,-0.587992,-0.647596,-5.678781,-201.485992,542.21936,-212.124817,-113.547905,-403.211609,614.390564,-401.716125,1,1
