@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2020/04/21 19:40:28:829',2,-371.960938,-71.603867,270.44397,-181.932724,?
2,'2020/04/21 19:40:28:964',2,-373.225433,-71.964516,260.883514,-181.342041,?
3,'2020/04/21 19:40:29:082',2,-372.358765,-75.434669,250.748749,-172.330795,?
4,'2020/04/21 19:40:29:201',2,-364.374573,-79.107491,253.839584,-162.297333,?
5,'2020/04/21 19:40:29:328',2,-359.812531,-78.881294,267.834564,-166.667999,?
6,'2020/04/21 19:40:29:445',2,-336.602356,-84.564034,297.622253,-167.217453,?
7,'2020/04/21 19:40:29:567',2,-313.15921,-66.247597,321.028381,-166.351517,?
8,'2020/04/21 19:40:39:733',3,-211.038513,-31.900883,569.130554,-759.977478,?
9,'2020/04/21 19:40:39:864',3,-211.425491,-28.805851,572.070313,-756.632385,?
10,'2020/04/21 19:40:39:999',3,-212.178467,-31.605839,576.180237,-755.98468,?
11,'2020/04/21 19:40:40:130',3,-210.976044,-31.223415,579.228271,-754.328918,?
12,'2020/04/21 19:40:40:248',3,-211.404343,-33.491058,582.025269,-748.592773,?
13,'2020/04/21 19:40:40:380',3,-213.404297,-36.522373,587.53064,-743.927856,?
14,'2020/04/21 19:40:40:508',3,-215.50354,-36.085754,594.82666,-735.848755,?
15,'2020/04/21 19:40:40:631',3,-216.586838,-36.653816,593.405518,-735.966309,?
16,'2020/04/21 19:40:53:182',4,-314.162201,-59.299812,324.717346,-1071.208984,?
17,'2020/04/21 19:40:53:306',4,-344.178375,-53.464161,316.788269,-1074.501221,?
18,'2020/04/21 19:40:53:432',4,-345.384949,-53.135155,316.184296,-1074.800781,?
19,'2020/04/21 19:40:53:566',4,-388.107574,-55.982189,307.065735,-1077.022705,?
20,'2020/04/21 19:40:53:684',4,-403.444427,-55.837975,306.57428,-1074.799927,?
21,'2020/04/21 19:40:53:804',4,-397.822662,-57.269184,306.565521,-1075.107666,?
22,'2020/04/21 19:40:53:934',4,-384.80899,-55.62307,307.52713,-1076.653809,?
23,'2020/04/21 19:40:54:070',4,-360.004761,-54.588718,305.133179,-1074.701172,?
24,'2020/04/21 19:41:02:443',5,-351.373474,-281.279053,-128.493088,-1261.362549,?
25,'2020/04/21 19:41:02:570',5,-353.018402,-347.675293,-118.795433,-1263.721802,?
26,'2020/04/21 19:41:02:687',5,-354.123169,-330.739136,-117.947258,-1259.744263,?
27,'2020/04/21 19:41:02:806',5,-354.100342,-330.726044,-117.969856,-1259.740723,?
28,'2020/04/21 19:41:02:936',5,-354.401367,-335.1987,-117.618172,-1260.792725,?
29,'2020/04/21 19:41:03:065',5,-354.402405,-335.198761,-117.618843,-1260.792725,?
30,'2020/04/21 19:41:03:190',5,-354.845306,-338.370392,-119.142685,-1260.216675,?
31,'2020/04/21 19:41:03:311',5,-352.105072,-343.251923,-115.57402,-1251.628174,?
32,'2020/04/21 19:41:03:453',5,-363.771332,-344.38147,-117.120354,-1252.247314,?
33,'2020/04/21 19:41:03:589',5,-363.698425,-344.427673,-117.079491,-1252.234375,?
34,'2020/04/21 19:41:03:714',5,-370.154602,-378.564423,-117.066322,-1246.537109,?
35,'2020/04/21 19:41:03:834',5,-368.338074,-339.345947,-114.893723,-1246.701782,?
36,'2020/04/21 19:41:03:956',5,-360.340942,-354.479279,-115.69136,-1247.712646,?
37,'2020/04/21 19:41:04:076',5,-358.640198,-354.045166,-111.191673,-1248.16333,?
38,'2020/04/21 19:41:04:244',5,-348.926788,-355.184113,-109.775406,-1250.22522,?
39,'2020/04/21 19:41:04:368',5,-353.608307,-357.695892,-104.203568,-1247.000244,?
40,'2020/04/21 19:41:11:171',6,-478.40033,-1209.504272,74.733032,-96.067963,?
41,'2020/04/21 19:41:11:304',6,-493.537415,-1199.318726,74.98716,-96.518951,?
42,'2020/04/21 19:41:11:441',6,-490.654297,-1200.721069,75.68515,-98.25663,?
43,'2020/04/21 19:41:11:568',6,-490.855682,-1202.150269,75.966835,-99.119545,?
44,'2020/04/21 19:41:11:685',6,-489.803711,-1201.494751,76.659225,-98.114166,?
