@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26}

@data
1,'2020/05/08 10:53:27:985',1,-382.95166,-113.359108,262.756836,-54.213314,-279.999268,-294.586884,271.223206,-245.141418,-0.093013,-0.42995,1
2,'2020/05/08 10:53:28:074',1,-382.258484,-114.802361,262.665863,-54.123104,-279.688965,-294.525604,270.84433,-245.609467,-0.096337,-0.428623,1
3,'2020/05/08 10:53:28:147',1,-379.305908,-112.811371,262.119934,-54.387688,-279.871857,-295.087036,270.825378,-245.432907,-0.092415,-0.443045,1
4,'2020/05/08 10:53:28:213',1,-379.786926,-113.642914,262.550629,-54.185913,-278.672211,-294.594116,270.667145,-245.331528,-0.091934,-0.430418,1
5,'2020/05/08 10:53:28:279',1,-378.788544,-113.177834,261.957428,-53.507866,-279.321899,-294.938629,270.508423,-244.657196,-0.093559,-0.440796,1
6,'2020/05/08 10:53:28:342',1,-381.906555,-114.774643,261.715576,-53.578197,-279.332947,-294.588043,270.485229,-244.373566,-0.092683,-0.430132,1
7,'2020/05/08 10:53:28:407',1,-379.943451,-114.008888,261.135315,-54.427193,-279.467102,-295.288788,270.649841,-244.546982,-0.093714,-0.441183,1
8,'2020/05/08 10:53:28:471',1,-383.013672,-116.959618,261.35434,-53.293915,-278.607239,-295.258667,269.884583,-244.132462,-0.089592,-0.427352,1
9,'2020/05/08 10:53:28:536',1,-383.330658,-116.888794,261.516113,-52.496613,-278.886261,-296.549438,271.209076,-243.934097,-0.085557,-0.439724,1
10,'2020/05/08 10:53:28:605',1,-381.754639,-117.181229,260.839355,-52.706329,-278.223938,-296.925537,271.397278,-244.330231,-0.092721,-0.43855,1
